node;vm;va;substation;subnet;voltLvl
MV1.101 Bus 33;1.01241;1.11929;NULL;MV1.101_LV2.113_Feeder4;5
MV1.101 Bus 34;1.0123;1.12091;NULL;MV1.101_LV2.114_Feeder4;5
MV1.101 Bus 35;1.01198;1.12562;NULL;MV1.101_LV2.115_Feeder4;5
MV1.101 Bus 36;1.01168;1.13044;NULL;MV1.101_LV2.116_Feeder4;5
MV1.101 Bus 37;1.01159;1.13278;NULL;MV1.101_LV2.117_Feeder4;5
MV1.101 Bus 38;1.01152;1.13395;NULL;MV1.101_LV2.118_Feeder4;5
MV1.101 Bus 39;1.01149;1.13369;NULL;MV1.101_LV2.119_Feeder4;5
MV1.101 Bus 40;1.02041;1.31458;NULL;MV1.101_LV1.114_Feeder5;5
MV1.101 Bus 41;1.02135;1.34376;NULL;MV1.101_LV1.115_Feeder5;5
MV1.101 Bus 42;1.03123;1.63538;NULL;MV1.101_LV2.120_Feeder5;5
MV1.101 Bus 43;1.03203;1.64801;NULL;MV1.101_LV1.116_Feeder5;5
MV1.101 Bus 44;1.0356;1.70846;NULL;MV1.101_LV1.117_Feeder5;5
MV1.101 Bus 45;1.03652;1.72801;NULL;MV1.101_LV1.118_Feeder5;5
MV1.101 Bus 46;1.03675;1.73295;NULL;MV1.101_LV1.119_Feeder5;5
MV1.101 Bus 47;1.03682;1.73509;NULL;MV1.101_LV1.120_Feeder5;5
MV1.101 Bus 48;1.01436;1.21044;NULL;MV1.101_LV1.121_Feeder6;5
MV1.101 Bus 49;1.01528;1.38561;NULL;MV1.101_LV2.121_Feeder6;5
MV1.101 Bus 50;1.01403;1.44365;NULL;MV1.101_LV2.122_Feeder6;5
MV1.101 Bus 51;1.01217;1.53531;NULL;MV1.101_LV2.123_Feeder6;5
MV1.101 Bus 52;1.01168;1.5609;NULL;MV1.101_LV4.101_Feeder6;5
MV1.101 Bus 53;1.01152;1.57219;NULL;MV1.101_LV4.102_Feeder6;5
MV1.101 Bus 54;1.01098;1.5748;NULL;MV1.101_LV4.103_Feeder6;5
MV1.101 Bus 55;1.01061;1.57875;NULL;MV1.101_LV4.104_Feeder6;5
MV1.101 Bus 56;1.01041;1.58145;NULL;MV1.101_LV4.105_Feeder6;5
MV1.101 Bus 57;1.00976;1.59468;NULL;MV1.101_LV2.124_Feeder6;5
MV1.101 Bus 58;1.00854;1.62086;NULL;MV1.101_LV1.122_Feeder6;5
MV1.101 Bus 59;1.0075;1.64041;NULL;MV1.101_LV1.123_Feeder6;5
MV1.101 Bus 60;1.00482;1.66015;NULL;MV1.101_LV4.106_Feeder6;5
MV1.101 Bus 61;1.0044;1.66547;NULL;MV1.101_LV4.107_Feeder6;5
MV1.101 Bus 62;1.00413;1.66687;NULL;MV1.101_LV2.125_Feeder6;5
MV1.101 Bus 63;1.00399;1.66735;NULL;MV1.101_LV1.124_Feeder6;5
MV1.101 Bus 64;1.00333;1.66778;NULL;MV1.101_LV2.126_Feeder6;5
MV1.101 Bus 65;1.00308;1.66822;NULL;MV1.101_LV4.108_Feeder6;5
MV1.101 Bus 66;1.00302;1.66883;NULL;MV1.101_LV4.109_Feeder6;5
MV1.101 Bus 67;1.00302;1.66975;NULL;MV1.101_LV2.127_Feeder6;5
MV1.101 Bus 68;1.00303;1.67014;NULL;MV1.101_LV1.125_Feeder6;5
MV1.101 Bus 69;1.01222;1.59101;NULL;MV1.101_Feeder6;5
MV1.101 Bus 70;1.01225;1.59247;NULL;MV1.101_LV1.126_Feeder6;5
MV1.101 Bus 71;1.01112;1.1594;NULL;MV1.101_LV2.128_Feeder7;5
MV1.101 Bus 72;1.00713;1.2561;NULL;MV1.101_LV3.103_Feeder7;5
MV1.101 Bus 73;1.00707;1.25875;NULL;MV1.101_LV4.110_Feeder7;5
MV1.101 Bus 74;1.00711;1.26267;NULL;MV1.101_LV3.104_Feeder7;5
MV1.101 Bus 75;1.00758;1.26993;NULL;MV1.101_LV1.127_Feeder7;5
MV1.101 Bus 76;1.0078;1.27333;NULL;MV1.101_LV1.128_Feeder7;5
MV1.101 Bus 77;1.00798;1.27726;NULL;MV1.101_LV1.129_Feeder7;5
MV1.101 Bus 78;1.01349;1.10561;NULL;MV1.101_LV2.129_Feeder8;5
MV1.101 Bus 79;1.01329;1.1172;NULL;MV1.101_LV2.130_Feeder8;5
MV1.101 Bus 80;1.0131;1.12937;NULL;MV1.101_LV3.105_Feeder8;5
MV1.101 Bus 81;1.0129;1.14331;NULL;MV1.101_LV2.131_Feeder8;5
MV1.101 Bus 82;1.01272;1.15637;NULL;MV1.101_LV3.106_Feeder8;5
MV1.101 Bus 83;1.01257;1.17052;NULL;MV1.101_LV3.107_Feeder8;5
MV1.101 Bus 84;1.01245;1.18529;NULL;MV1.101_LV2.132_Feeder8;5
MV1.101 Bus 85;1.01236;1.20084;NULL;MV1.101_LV2.133_Feeder8;5
MV1.101 Bus 86;1.01231;1.21328;NULL;MV1.101_LV2.134_Feeder8;5
MV1.101 Bus 87;1.01228;1.22944;NULL;MV1.101_LV1.130_Feeder8;5
MV1.101 Bus 88;1.0116;1.31815;NULL;MV1.101_LV1.131_Feeder8;5
MV1.101 Bus 89;1.01026;1.43299;NULL;MV1.101_LV1.132_Feeder8;5
MV1.101 Bus 90;1.00936;1.48527;NULL;MV1.101_LV1.133_Feeder8;5
MV1.101 Bus 91;1.00661;1.59302;NULL;MV1.101_LV1.134_Feeder8;5
MV1.101 Bus 92;1.00611;1.61188;NULL;MV1.101_LV1.135_Feeder8;5
MV1.101 Bus 93;1.00581;1.6201;NULL;MV1.101_LV2.135_Feeder8;5
MV1.101 Bus 94;1.00563;1.62478;NULL;MV1.101_LV2.136_Feeder8;5
MV1.101 Bus 95;1.00563;1.62708;NULL;MV1.101_LV2.137_Feeder8;5
MV1.101 Bus 96;1.00566;1.62835;NULL;MV1.101_LV1.136_Feeder8;5
