id;type;vmSetp;vaSetp;vmR;vmMin;vmMax;substation;coordID;subnet;voltLvl
MV1.101 Bus 24;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_23;MV1.101_LV2.109_Feeder2;5
MV1.101 Bus 25;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_24;MV1.101_LV1.109_Feeder3;5
MV1.101 Bus 26;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_25;MV1.101_LV2.110_Feeder3;5
MV1.101 Bus 27;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_26;MV1.101_LV1.110_Feeder3;5
MV1.101 Bus 28;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_27;MV1.101_LV1.111_Feeder3;5
MV1.101 Bus 29;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_28;MV1.101_LV1.112_Feeder3;5
MV1.101 Bus 30;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_29;MV1.101_LV1.113_Feeder4;5
MV1.101 Bus 31;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_30;MV1.101_LV2.111_Feeder4;5
MV1.101 Bus 32;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_31;MV1.101_LV2.112_Feeder4;5
MV1.101 Bus 33;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_32;MV1.101_LV2.113_Feeder4;5
MV1.101 Bus 34;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_33;MV1.101_LV2.114_Feeder4;5
MV1.101 Bus 35;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_34;MV1.101_LV2.115_Feeder4;5
MV1.101 Bus 36;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_35;MV1.101_LV2.116_Feeder4;5
MV1.101 Bus 37;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_36;MV1.101_LV2.117_Feeder4;5
MV1.101 Bus 38;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_37;MV1.101_LV2.118_Feeder4;5
MV1.101 Bus 39;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_38;MV1.101_LV2.119_Feeder4;5
MV1.101 Bus 40;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_39;MV1.101_LV1.114_Feeder5;5
MV1.101 Bus 41;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_40;MV1.101_LV1.115_Feeder5;5
MV1.101 Bus 42;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_41;MV1.101_LV2.120_Feeder5;5
MV1.101 Bus 43;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_42;MV1.101_LV1.116_Feeder5;5
MV1.101 Bus 44;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_43;MV1.101_LV1.117_Feeder5;5
MV1.101 Bus 45;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_44;MV1.101_LV1.118_Feeder5;5
MV1.101 Bus 46;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_45;MV1.101_LV1.119_Feeder5;5
MV1.101 Bus 47;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_46;MV1.101_LV1.120_Feeder5;5
MV1.101 Bus 48;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_47;MV1.101_LV1.121_Feeder6;5
MV1.101 Bus 49;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_48;MV1.101_LV2.121_Feeder6;5
MV1.101 Bus 50;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_49;MV1.101_LV2.122_Feeder6;5
MV1.101 Bus 51;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_50;MV1.101_LV2.123_Feeder6;5
MV1.101 Bus 52;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_51;MV1.101_LV4.101_Feeder6;5
MV1.101 Bus 53;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_52;MV1.101_LV4.102_Feeder6;5
MV1.101 Bus 54;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_53;MV1.101_LV4.103_Feeder6;5
MV1.101 Bus 55;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_54;MV1.101_LV4.104_Feeder6;5
MV1.101 Bus 56;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_55;MV1.101_LV4.105_Feeder6;5
MV1.101 Bus 57;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_56;MV1.101_LV2.124_Feeder6;5
MV1.101 Bus 58;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_57;MV1.101_LV1.122_Feeder6;5
MV1.101 Bus 59;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_58;MV1.101_LV1.123_Feeder6;5
MV1.101 Bus 60;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_59;MV1.101_LV4.106_Feeder6;5
MV1.101 Bus 61;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_60;MV1.101_LV4.107_Feeder6;5
MV1.101 Bus 62;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_61;MV1.101_LV2.125_Feeder6;5
MV1.101 Bus 63;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_62;MV1.101_LV1.124_Feeder6;5
MV1.101 Bus 64;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_63;MV1.101_LV2.126_Feeder6;5
MV1.101 Bus 65;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_64;MV1.101_LV4.108_Feeder6;5
MV1.101 Bus 66;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_65;MV1.101_LV4.109_Feeder6;5
MV1.101 Bus 67;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_66;MV1.101_LV2.127_Feeder6;5
MV1.101 Bus 68;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_67;MV1.101_LV1.125_Feeder6;5
MV1.101 Bus 69;node;NULL;NULL;20;0.965;1.055;NULL;coord_68;MV1.101_Feeder6;5
MV1.101 Bus 70;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_69;MV1.101_LV1.126_Feeder6;5
MV1.101 Bus 71;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_70;MV1.101_LV2.128_Feeder7;5
MV1.101 Bus 72;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_71;MV1.101_LV3.103_Feeder7;5
MV1.101 Bus 73;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_72;MV1.101_LV4.110_Feeder7;5
MV1.101 Bus 74;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_73;MV1.101_LV3.104_Feeder7;5
MV1.101 Bus 75;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_74;MV1.101_LV1.127_Feeder7;5
MV1.101 Bus 76;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_75;MV1.101_LV1.128_Feeder7;5
MV1.101 Bus 77;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_76;MV1.101_LV1.129_Feeder7;5
MV1.101 Bus 78;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_77;MV1.101_LV2.129_Feeder8;5
MV1.101 Bus 79;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_78;MV1.101_LV2.130_Feeder8;5
MV1.101 Bus 80;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_79;MV1.101_LV3.105_Feeder8;5
MV1.101 Bus 81;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_80;MV1.101_LV2.131_Feeder8;5
MV1.101 Bus 82;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_81;MV1.101_LV3.106_Feeder8;5
MV1.101 Bus 83;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_82;MV1.101_LV3.107_Feeder8;5
MV1.101 Bus 84;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_83;MV1.101_LV2.132_Feeder8;5
MV1.101 Bus 85;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_84;MV1.101_LV2.133_Feeder8;5
MV1.101 Bus 86;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_85;MV1.101_LV2.134_Feeder8;5
MV1.101 Bus 87;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_86;MV1.101_LV1.130_Feeder8;5
MV1.101 Bus 88;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_87;MV1.101_LV1.131_Feeder8;5
MV1.101 Bus 89;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_88;MV1.101_LV1.132_Feeder8;5
MV1.101 Bus 90;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_89;MV1.101_LV1.133_Feeder8;5
MV1.101 Bus 91;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_90;MV1.101_LV1.134_Feeder8;5
MV1.101 Bus 92;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_91;MV1.101_LV1.135_Feeder8;5
MV1.101 Bus 93;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_92;MV1.101_LV2.135_Feeder8;5
MV1.101 Bus 94;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_93;MV1.101_LV2.136_Feeder8;5
MV1.101 Bus 95;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_94;MV1.101_LV2.137_Feeder8;5
MV1.101 Bus 96;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_95;MV1.101_LV1.136_Feeder8;5
MV1.101 Bus 47_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_96;MV1.101_Feeder5;5
MV1.101 Bus 63_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_0;MV1.101_Feeder6;5
MV1.101 Bus 77_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_97;MV1.101_Feeder7;5
MV1.101 Bus 96_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_98;MV1.101_Feeder8;5
MV1.101 Bus 11_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_99;MV1.101_Feeder1;5
MV1.101 Bus 63_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_0;MV1.101_Feeder6;5
