id;nodeA;nodeB;type;length;loadingMax;subnet;voltLvl
MV1.101 Line 46;MV1.101 Bus 48_2;MV1.101 Bus 49_1;NA2XS2Y 1x120 RM/25 12/20 kV;2.6;100;MV1.101_Feeder6;5
MV1.101 Line 47;MV1.101 Bus 49_2;MV1.101 Bus 50_1;NA2XS2Y 1x120 RM/25 12/20 kV;1.6;100;MV1.101_Feeder6;5
MV1.101 Line 48;MV1.101 Bus 50_2;MV1.101 Bus 51_1;NA2XS2Y 1x120 RM/25 12/20 kV;2.5;100;MV1.101_Feeder6;5
MV1.101 Line 49;MV1.101 Bus 51_2;MV1.101 Bus 52_1;NA2XS2Y 1x120 RM/25 12/20 kV;0.7;100;MV1.101_Feeder6;5
MV1.101 Line 50;MV1.101 Bus 52_2;MV1.101 Bus 53_1;NA2XS2Y 1x120 RM/25 12/20 kV;0.3;100;MV1.101_Feeder6;5
MV1.101 Line 51;MV1.101 Bus 53_2;MV1.101 Bus 54_1;NA2XS2Y 1x120 RM/25 12/20 kV;0.35;100;MV1.101_Feeder6;5
MV1.101 Line 52;MV1.101 Bus 54_2;MV1.101 Bus 55_1;NA2XS2Y 1x120 RM/25 12/20 kV;0.4;100;MV1.101_Feeder6;5
MV1.101 Line 53;MV1.101 Bus 55_2;MV1.101 Bus 56_1;NA2XS2Y 1x120 RM/25 12/20 kV;0.25;100;MV1.101_Feeder6;5
MV1.101 Line 54;MV1.101 Bus 56_2;MV1.101 Bus 57_1;NA2XS2Y 1x120 RM/25 12/20 kV;1.1;100;MV1.101_Feeder6;5
MV1.101 Line 55;MV1.101 Bus 57_2;MV1.101 Bus 58_1;NA2XS2Y 1x120 RM/25 12/20 kV;2.2;100;MV1.101_Feeder6;5
MV1.101 Line 56;MV1.101 Bus 58_2;MV1.101 Bus 59_1;NA2XS2Y 1x120 RM/25 12/20 kV;1.7;100;MV1.101_Feeder6;5
MV1.101 Line 57;MV1.101 Bus 59_2;MV1.101 Bus 60_1;NA2XS2Y 1x120 RM/25 12/20 kV;3.1;100;MV1.101_Feeder6;5
MV1.101 Line 58;MV1.101 Bus 60_2;MV1.101 Bus 61_1;NA2XS2Y 1x120 RM/25 12/20 kV;0.6;100;MV1.101_Feeder6;5
MV1.101 Line 59;MV1.101 Bus 61_2;MV1.101 Bus 62_1;NA2XS2Y 1x120 RM/25 12/20 kV;0.35;100;MV1.101_Feeder6;5
MV1.101 Line 60;MV1.101 Bus 62_2;MV1.101 Bus 63_1;NA2XS2Y 1x120 RM/25 12/20 kV;0.2;100;MV1.101_Feeder6;5
MV1.101 Line 61;MV1.101 Bus 63_2;MV1.101 Bus 64_1;NA2XS2Y 1x120 RM/25 12/20 kV;0.9;100;MV1.101_Feeder6;5
MV1.101 Line 62;MV1.101 Bus 64_2;MV1.101 Bus 65_1;NA2XS2Y 1x120 RM/25 12/20 kV;0.7;100;MV1.101_Feeder6;5
MV1.101 Line 63;MV1.101 Bus 65_2;MV1.101 Bus 66_1;NA2XS2Y 1x120 RM/25 12/20 kV;0.35;100;MV1.101_Feeder6;5
MV1.101 Line 64;MV1.101 Bus 66_2;MV1.101 Bus 67_1;NA2XS2Y 1x120 RM/25 12/20 kV;0.35;100;MV1.101_Feeder6;5
MV1.101 Line 65;MV1.101 Bus 67_2;MV1.101 Bus 68_1;NA2XS2Y 1x120 RM/25 12/20 kV;0.35;100;MV1.101_Feeder6;5
MV1.101 Line 66;MV1.101 Bus 53_3;MV1.101 Bus 69_1;NA2XS2Y 1x120 RM/25 12/20 kV;0.6;100;MV1.101_Feeder6;5
MV1.101 Line 67;MV1.101 Bus 69_2;MV1.101 Bus 70_1;NA2XS2Y 1x120 RM/25 12/20 kV;0.7;100;MV1.101_Feeder6;5
MV1.101 Line 68;MV1.101 busbar1.2_4;MV1.101 Bus 71_1;34-AL1/6-ST1A 20.0;2.4;100;MV1.101_Feeder7;5
MV1.101 Line 69;MV1.101 Bus 71_2;MV1.101 Bus 72_1;34-AL1/6-ST1A 20.0;4.6;100;MV1.101_Feeder7;5
MV1.101 Line 70;MV1.101 Bus 72_2;MV1.101 Bus 73_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.3;100;MV1.101_Feeder7;5
MV1.101 Line 71;MV1.101 Bus 73_2;MV1.101 Bus 74_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.5;100;MV1.101_Feeder7;5
MV1.101 Line 72;MV1.101 Bus 74_2;MV1.101 Bus 75_1;NA2XS2Y 1x70 RM/25 12/20 kV;1.8;100;MV1.101_Feeder7;5
MV1.101 Line 73;MV1.101 Bus 75_2;MV1.101 Bus 76_1;NA2XS2Y 1x70 RM/25 12/20 kV;1.2;100;MV1.101_Feeder7;5
MV1.101 Line 74;MV1.101 Bus 76_2;MV1.101 Bus 77_1;NA2XS2Y 1x70 RM/25 12/20 kV;2.1;100;MV1.101_Feeder7;5
MV1.101 Line 75;MV1.101 busbar1.2_5;MV1.101 Bus 78_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.15;100;MV1.101_Feeder8;5
MV1.101 Line 76;MV1.101 Bus 78_2;MV1.101 Bus 79_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.18;100;MV1.101_Feeder8;5
MV1.101 Line 77;MV1.101 Bus 79_2;MV1.101 Bus 80_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.2;100;MV1.101_Feeder8;5
MV1.101 Line 78;MV1.101 Bus 80_2;MV1.101 Bus 81_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.25;100;MV1.101_Feeder8;5
MV1.101 Line 79;MV1.101 Bus 81_2;MV1.101 Bus 82_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.25;100;MV1.101_Feeder8;5
MV1.101 Line 80;MV1.101 Bus 82_2;MV1.101 Bus 83_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.3;100;MV1.101_Feeder8;5
MV1.101 Line 81;MV1.101 Bus 83_2;MV1.101 Bus 84_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.35;100;MV1.101_Feeder8;5
MV1.101 Line 82;MV1.101 Bus 84_2;MV1.101 Bus 85_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.4;100;MV1.101_Feeder8;5
MV1.101 Line 83;MV1.101 Bus 85_2;MV1.101 Bus 86_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.35;100;MV1.101_Feeder8;5
MV1.101 Line 84;MV1.101 Bus 86_2;MV1.101 Bus 87_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.5;100;MV1.101_Feeder8;5
MV1.101 Line 85;MV1.101 Bus 87_2;MV1.101 Bus 88_1;34-AL1/6-ST1A 20.0;1.6;100;MV1.101_Feeder8;5
MV1.101 Line 86;MV1.101 Bus 88_2;MV1.101 Bus 89_1;34-AL1/6-ST1A 20.0;2.4;100;MV1.101_Feeder8;5
MV1.101 Line 87;MV1.101 Bus 89_2;MV1.101 Bus 90_1;34-AL1/6-ST1A 20.0;1.3;100;MV1.101_Feeder8;5
MV1.101 Line 88;MV1.101 Bus 90_2;MV1.101 Bus 91_1;34-AL1/6-ST1A 20.0;3.3;100;MV1.101_Feeder8;5
MV1.101 Line 89;MV1.101 Bus 91_2;MV1.101 Bus 92_1;NA2XS2Y 1x70 RM/25 12/20 kV;1.1;100;MV1.101_Feeder8;5
MV1.101 Line 90;MV1.101 Bus 92_2;MV1.101 Bus 93_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.55;100;MV1.101_Feeder8;5
MV1.101 Line 91;MV1.101 Bus 93_2;MV1.101 Bus 94_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.4;100;MV1.101_Feeder8;5
MV1.101 Line 92;MV1.101 Bus 94_2;MV1.101 Bus 95_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.35;100;MV1.101_Feeder8;5
MV1.101 Line 93;MV1.101 Bus 95_2;MV1.101 Bus 96_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.4;100;MV1.101_Feeder8;5
MV1.101 loop_line 1;MV1.101 Bus 12_2;MV1.101 Bus 47_2;NA2XS2Y 1x70 RM/25 12/20 kV;1.3;100;MV1.101_Loop_Line;5
MV1.101 loop_line 2;MV1.101 Bus 24_2;MV1.101 Bus 63_3;NA2XS2Y 1x70 RM/25 12/20 kV;1.8;100;MV1.101_Loop_Line;5
MV1.101 loop_line 3;MV1.101 Bus 26_3;MV1.101 Bus 77_2;NA2XS2Y 1x70 RM/25 12/20 kV;0.5;100;MV1.101_Loop_Line;5
MV1.101 loop_line 4;MV1.101 Bus 39_2;MV1.101 Bus 96_2;NA2XS2Y 1x70 RM/25 12/20 kV;2.8;100;MV1.101_Loop_Line;5
MV1.101 loop_line 5;MV1.101 Bus 15_2;MV1.101 Bus 11_3;NA2XS2Y 1x70 RM/25 12/20 kV;0.8;100;MV1.101_Loop_Line;5
MV1.101 loop_line 6;MV1.101 Bus 68_2;MV1.101 Bus 63_4;NA2XS2Y 1x70 RM/25 12/20 kV;1.4;100;MV1.101_Loop_Line;5
MV1.101 Line 94;MV1.101 Bus 13;MV1.101 Bus 97;NA2XS2Y 1x240 RM/25 12/20 kV;1.01809;100;MV1.101_Feeder1;3
MV1.101 Line 95;MV1.101 Bus 65;MV1.101 Bus 98;NA2XS2Y 1x240 RM/25 12/20 kV;1.0628;100;MV1.101_Feeder6;3
